m_hidden,sparsity,seed,checkpoint_step,n_eigenspaces,n_eigenvectors,degeneracy_ratio,n_clusters,mean_participation_ratio,mean_max_space_projection
112,0.8485714285714285,0,25000,110,112,0.9821428571428571,47,37.044722385088946,0.0759914748238282
112,0.8485714285714285,1,25000,111,112,0.9910714285714286,48,37.11808987866057,0.07657942872433245
112,0.8687755102040816,0,25000,110,112,0.9821428571428571,46,36.78103578934409,0.07574907213188936
112,0.8687755102040816,1,25000,112,112,1.0,49,37.79878853383205,0.0726996330814858
112,0.8889795918367347,0,25000,111,112,0.9910714285714286,47,37.72342299226736,0.07395367237266183
112,0.8889795918367347,1,25000,109,112,0.9732142857142857,48,37.17421936573277,0.07440980151356437
112,0.9091836734693878,0,25000,111,112,0.9910714285714286,49,38.17738155825084,0.07159831252717536
112,0.9091836734693878,1,25000,111,112,0.9910714285714286,47,38.10791698351237,0.07270946887056498
112,0.9293877551020407,0,25000,111,112,0.9910714285714286,50,38.47738932450223,0.07036445972013074
112,0.9293877551020407,1,25000,107,112,0.9553571428571429,41,37.46420165258548,0.0723403712945875
112,0.9495918367346938,0,25000,111,112,0.9910714285714286,48,38.60401550435732,0.07061650006244072
112,0.9495918367346938,1,25000,111,112,0.9910714285714286,51,38.22141512817129,0.0715796716324199
112,0.9697959183673469,0,25000,111,112,0.9910714285714286,49,38.652110296193165,0.0707987265120732
112,0.9697959183673469,1,25000,109,112,0.9732142857142857,40,37.91211509972815,0.07191776441125007
112,0.99,0,25000,111,112,0.9910714285714286,50,38.14222286599719,0.07199765986227458
112,0.99,1,25000,112,112,1.0,48,38.77994188521208,0.07065132026004382
128,0.0,0,25000,33,128,0.2578125,12,11.33888586284553,0.2545062626081317
128,0.0,1,25000,32,128,0.25,10,11.421798754665204,0.2671269551527372
128,0.02020408163265306,0,25000,33,128,0.2578125,10,11.835290465482162,0.2535874156831942
128,0.02020408163265306,1,25000,34,128,0.265625,12,12.087324487647649,0.2628176168513269
128,0.04040816326530612,0,25000,36,128,0.28125,14,13.692994199564076,0.2420891196789272
128,0.04040816326530612,1,25000,37,128,0.2890625,13,13.826457491670231,0.2485196865984644
128,0.06061224489795918,0,25000,35,128,0.2734375,15,14.337317084260476,0.23154560449718034
