m_hidden,sparsity,seed,checkpoint_step,n_clusters,mean_participation_ratio,mean_max_projection
144,0.9697959183673469,1,25000,29,49.2128349902234,0.05871917752371082
144,0.99,0,25000,28,48.87630358051061,0.059222111989026306
144,0.99,1,25000,27,48.916397749408446,0.05939004671756618
160,0.0,0,25000,8,47.74548478714388,0.1697488826265942
160,0.0,1,25000,8,47.01441428643111,0.13679369013407583
160,0.02020408163265306,0,25000,11,47.71757748255885,0.16269192722669495
160,0.02020408163265306,1,25000,6,47.36220306162549,0.1614183840424375
160,0.04040816326530612,0,25000,8,48.410029220164695,0.15840082884113899
160,0.04040816326530612,1,25000,5,47.71771859766099,0.16737896574097683
160,0.06061224489795918,0,25000,11,48.218487709697705,0.15354165033100045
160,0.06061224489795918,1,25000,11,47.839180234289515,0.165161435844074
160,0.08081632653061224,0,25000,5,47.9271755559687,0.1553698245725132
160,0.08081632653061224,1,25000,11,47.14899926401694,0.16558572941667093
160,0.1010204081632653,0,25000,17,46.438739544043045,0.1553524922727916
160,0.1010204081632653,1,25000,19,45.09915076496843,0.1701090412544719
160,0.12122448979591836,0,25000,25,43.54090128575682,0.15312078018674227
160,0.12122448979591836,1,25000,30,41.9934531689301,0.1663958774424105
160,0.14142857142857143,0,25000,37,41.25463104086033,0.14869053882789757
160,0.14142857142857143,1,25000,41,41.00590417519804,0.15850756287201306
160,0.16163265306122448,0,25000,54,40.298490903588764,0.14163884183899422
160,0.16163265306122448,1,25000,54,39.67076861920237,0.15201493366024382
160,0.18183673469387754,0,25000,49,39.66370634293738,0.1369041431510677
160,0.18183673469387754,1,25000,53,39.161949155524454,0.1428754467962992
160,0.2020408163265306,0,25000,33,40.27273323976409,0.13127724404182411
160,0.2020408163265306,1,25000,30,40.16591154559413,0.13775858312234776
160,0.22224489795918367,0,25000,26,41.42402907036064,0.1232085359336611
160,0.22224489795918367,1,25000,23,41.26186358877209,0.1329539658612492
160,0.24244897959183673,0,25000,32,44.40062902679672,0.11294765343162128
160,0.24244897959183673,1,25000,29,43.98608097148211,0.12266978367952286
160,0.2626530612244898,0,25000,31,46.526273095337984,0.10525183603560824
160,0.2626530612244898,1,25000,30,45.209981919286946,0.11602215794393628
160,0.28285714285714286,0,25000,31,46.68846894262411,0.10107726911852201
160,0.28285714285714286,1,25000,32,45.94741092377599,0.10802414307255731
160,0.3030612244897959,0,25000,36,47.561473989602135,0.0950310666741443
160,0.3030612244897959,1,25000,35,47.0058868612991,0.10013839687387843
160,0.32326530612244897,0,25000,34,46.06885043975866,0.09216666780479747
160,0.32326530612244897,1,25000,35,46.28787731520629,0.09729265861606143
160,0.34346938775510205,0,25000,29,42.37709752201164,0.09560814730825457
160,0.34346938775510205,1,25000,28,41.590116347305475,0.10153734769945622
160,0.3636734693877551,0,25000,14,42.35586348949337,0.09443831176564886
160,0.3636734693877551,1,25000,12,41.79434848906054,0.10430873785773134
160,0.38387755102040816,0,25000,12,37.2511827892803,0.10811112783807905
160,0.38387755102040816,1,25000,8,41.73486967690832,0.09527530997896994
160,0.4040816326530612,0,25000,12,18.354620163347455,0.17172027221422703
160,0.4040816326530612,1,25000,15,17.24808596866292,0.17573016764850646
160,0.42428571428571427,0,25000,20,18.04556880096819,0.17461863093642366
160,0.42428571428571427,1,25000,20,18.167561672136927,0.17380257293291604
160,0.44448979591836735,0,25000,17,19.735006552908764,0.1800396491090225
160,0.44448979591836735,1,25000,16,19.815300297778148,0.18129114429389315
160,0.4646938775510204,0,25000,13,20.736146143355814,0.19829650263054183
160,0.4646938775510204,1,25000,12,20.200310643227873,0.20339063068811652
160,0.48489795918367345,0,25000,8,20.765124709369886,0.2322810912688558
160,0.48489795918367345,1,25000,6,21.562562707913074,0.23633404483830145
160,0.5051020408163265,0,25000,2,23.23408045398378,0.23924600955733386
160,0.5051020408163265,1,25000,1,24.867963507467582,0.22189658547793184
160,0.5253061224489796,0,25000,2,24.671863024465843,0.22599646597265793
160,0.5253061224489796,1,25000,1,24.89965175637761,0.2239837161919395
160,0.5455102040816326,0,25000,2,23.150387381449736,0.2467169919487918
160,0.5455102040816326,1,25000,2,24.40361398494305,0.2217890161753605
160,0.5657142857142857,0,25000,1,24.23103034914936,0.23221903209167977
160,0.5657142857142857,1,25000,1,25.19719462916748,0.22754653266910457
160,0.5859183673469388,0,25000,1,25.13048261619351,0.2308448294635446
160,0.5859183673469388,1,25000,2,23.321036591770408,0.24762864593433156
160,0.6061224489795918,0,25000,1,24.921581079610025,0.23057248904070204
160,0.6061224489795918,1,25000,1,25.733398992068775,0.224836883228866
160,0.6263265306122449,0,25000,1,25.687992322460794,0.22572819868453844
160,0.6263265306122449,1,25000,1,27.45837175651484,0.21706109282877412
160,0.6465306122448979,0,25000,1,25.925904003320873,0.2231248523596895
160,0.6465306122448979,1,25000,1,29.27657966201493,0.21179621001346072
160,0.666734693877551,0,25000,2,26.948551313783653,0.21802805786410095
160,0.666734693877551,1,25000,1,28.9501112404145,0.213488824738924
160,0.6869387755102041,0,25000,2,27.636981483674678,0.21341115746347195
160,0.6869387755102041,1,25000,1,30.117709517114356,0.2068120041122838
160,0.7071428571428571,0,25000,1,29.58100973076961,0.20473473649911886
160,0.7071428571428571,1,25000,1,30.931280397662285,0.20213209518857964
160,0.7273469387755102,0,25000,1,30.868170164111227,0.1970654393468939
160,0.7273469387755102,1,25000,18,53.98736663014523,0.05824559302917339
160,0.7475510204081632,0,25000,20,49.42319937301254,0.06712649117377291
160,0.7475510204081632,1,25000,20,50.69691072177737,0.07381103587131342
160,0.7677551020408163,0,25000,21,50.63939552255286,0.06707191722199188
160,0.7677551020408163,1,25000,27,50.99098406365658,0.06454587176326562
160,0.7879591836734694,0,25000,23,52.205028241589076,0.0610826494661567
160,0.7879591836734694,1,25000,15,52.73961869865013,0.060672779073783795
160,0.8081632653061224,0,25000,25,54.10758392469689,0.05437711628708486
160,0.8081632653061224,1,25000,20,53.46735797398905,0.057605894633862134
