cluster_k,n_features,slope,intercept,r_squared,p_value,std_err,eigenvalue,inv_eigenvalue,predicted_slope,slope_ratio,mean_participation_ratio,std_participation_ratio,mean_max_projection,std_max_projection,mean_ipr,mean_norm_sq,mean_D,m_hidden,sparsity,seed,checkpoint_step,slope_times_lambda,log_slope,log_inv_eigenvalue,localization_score
78,23,0.9853761839460653,-0.0002561456032020293,0.9997388967741079,4.09489205624348e-39,0.0034750034333508395,1.0050663948059082,0.9949591159820557,0.9949591159820557,0.9903685167741474,32.583958489136585,5.867090395990558,0.08997622857573731,0.025760582045392725,0.031681027108209414,0.08851007388034061,0.08695957809686661,112,0.24244897959183673,1,25000,0.9903684887262753,-0.006397938616618442,-0.0021947645489352793,0.05775603135213494
85,20,0.9894844570457972,-0.0006122523554511344,0.9997520808550987,6.5631764034108225e-34,0.0036726673859648045,1.0047128200531006,0.9953092932701111,0.9953092932701111,0.9941477124109067,31.965100762237018,4.702522072081236,0.08886567817548408,0.01795069954491224,0.03195269755785836,0.08918529016367167,0.08763520419597626,112,0.24244897959183673,1,25000,0.994147719237194,-0.004591023359817501,-0.0020419408747487915,0.056604327601934644
97,22,0.9874348452441193,-0.0003614225947141114,0.9997426230023236,2.2477435323002534e-37,0.003542698652481297,1.0039950609207153,0.9960208535194397,0.9960208535194397,0.9913796902494745,30.069616525954448,4.641969153877322,0.0948190908109955,0.018667559401597162,0.034172493945042945,0.09088969019510235,0.0893862247467041,112,0.24244897959183673,1,25000,0.9913797076061066,-0.005491551179455928,-0.0017315687313089556,0.06277835415421436
102,20,0.9893871078579288,-0.0005351523750846271,0.999726084963471,1.610168892832414e-33,0.0038600898990509623,1.0036944150924683,0.9963191747665405,0.9963191747665405,0.9930423230986837,31.3087394944315,4.831963860071104,0.08844069105260481,0.025301951621358707,0.032783956277047305,0.0884540503505305,0.08698014169931412,112,0.24244897959183673,1,25000,0.9930423145214927,-0.0046337529799635934,-0.001601511340924544,0.056163591852260185
108,24,0.9863025210681329,-0.00045634653480208787,0.9997308837647754,9.019609004450096e-41,0.003450064368303706,1.001604437828064,0.9983981251716614,0.9983981251716614,0.9878849891655708,33.699231084707456,5.6841742621415525,0.08402993109000083,0.02261635830566603,0.03051609939746065,0.08577951829007964,0.08414820581674576,112,0.24244897959183673,1,25000,0.9878849821428495,-0.005989856783535377,-0.0006962431948708556,0.05158938361370931
111,111,1.1143952396668324,-2.0178816158082885e-06,0.9989695867345508,1.2347359993978869e-164,0.0034281166118952594,0.8906681537628174,1.1227526664733887,1.1227526664733887,0.9925563064278375,1.2609274786276818,0.07157094558622171,0.8912480896288864,0.024404618923163538,0.7954813925381352,0.0001448621009839289,0.0001594157365616411,112,0.24244897959183673,1,25000,0.99255635067613,0.04703924825542403,0.0502840951605406,0.8887203955939127
77,23,0.9919510708482785,-0.0012527326542873668,0.9996943239150762,2.1427334923736638e-38,0.003785103167819965,1.005595088005066,0.9944360256195068,0.9944360256195068,0.9975011416449034,30.50320834254697,6.004484878171009,0.09328373773984937,0.03285685206789198,0.03442833774298495,0.07958594462034584,0.07769262790679932,112,0.2626530612244898,0,25000,0.9975011243863939,-0.003509749402948839,-0.0024231508141638702,0.06118610594151069
78,24,0.9712984936914908,0.0003674284436398084,0.9993042966778859,3.1088418277307047e-36,0.005463922567160077,1.0055795907974243,0.9944513440132141,0.9944513440132141,0.9767179656791578,32.2332868978962,7.133201047265295,0.08864100038177947,0.02666746095153899,0.032488600719024055,0.08147300172291118,0.07950203865766525,112,0.2626530612244898,0,25000,0.976717941828444,-0.012647284775974984,-0.002416460949307369,0.05637132398720692
79,20,0.9846661137169358,-0.0007500787916012996,0.9995904770416723,6.009790959714099e-32,0.004697651680270141,1.0055360794067383,0.9944943785667419,0.9944943785667419,0.9901173248822477,32.37996341356743,4.849976489627927,0.08884024750156902,0.027400120096164843,0.03179080738759726,0.07865019697490956,0.07669410109519958,112,0.2626530612244898,0,25000,0.9901173035115971,-0.006711007626349533,-0.0023976674056535173,0.05657795455077784
81,25,0.9829429338907457,-0.0005710181802549841,0.9996948342229335,6.145822728734456e-42,0.0035809526373629303,1.0053436756134033,0.9946847558021545,0.9946847558021545,0.9881954339373185,32.76289337760221,5.393380319832247,0.08265243021536492,0.021215623312805642,0.03143406081068283,0.07711642482882156,0.07523002475500107,112,0.2626530612244898,0,25000,0.9881954620759448,-0.007471695001800238,-0.0023145378557365755,0.0501608370814127
